runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
300.044,35432,70865,0,16714304,28145248,0,1,-1,2169,2231,2169,2147483647,12.2245,198.827,284.174,0.35951,296.976,0,0,0.412143,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,7290,28,46
0.749596,49,99,0,63713,99803,0,1,2327,2122,2159,2122,2147483647,0.023644,0.413544,0.545962,0.167052,0.565519,0,0,0.194721,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,5,19,64
300.033,30326,60653,0,31506893,51350039,0,1,-1,1946,1980,1946,2147483647,10.1835,146.286,287.054,0.135825,297.75,0,0,0.191315,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,1996,23,72
0.64747,67,135,0,52040,89474,0,1,2224,2022,2066,2022,2147483647,0.023805,0.41624,0.494531,0.118201,0.515489,0,0,0.149095,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,3,36,85
300.039,40080,80161,0,31250612,51027002,0,1,-1,2194,2236,2194,2147483647,11.8561,175.984,285.113,0.128018,297.53,0,0,0.152634,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,7830,49,94
300.027,25255,50511,0,20236353,33581688,0,1,-1,2202,2248,2202,2147483647,10.5261,178.065,286.33,0.156318,297.452,0,0,0.180508,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,2030,22,70
300.039,32906,65813,0,33526710,53591298,0,1,-1,2083,2135,2083,2147483647,10.9345,154.943,286.275,0.141641,297.737,0,0,0.178903,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,2255,25,82
300.026,37443,74887,0,35779741,58365830,0,1,-1,2165,2209,2165,2147483647,11.3466,153.877,285.759,0.103518,297.643,0,0,0.13988,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,3125,56,85
300.084,25427,50855,0,24136020,40059969,0,1,-1,2107,2163,2107,2147483647,10.6042,164.364,286.466,0.130891,297.685,0,0,0.148036,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,3207,48,81
13.1725,241,483,0,241889,386206,0,1,2148,1954,1994,1954,2147483647,0.398144,7.23287,11.9832,0.663147,12.3823,0,0,0.896807,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,37,5,67
2.86238,43,87,0,59069,93814,0,1,2296,2119,2166,2119,2147483647,0.056399,1.55943,2.11485,0.630211,2.16282,0,0,0.720805,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,3,26,43
300.021,21399,42799,0,23207111,37047956,0,1,-1,2183,2235,2183,2147483647,9.01823,165.823,287.759,0.542764,297.355,0,0,0.594371,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,2752,40,55
0.503136,46,93,0,59804,96802,0,1,2388,2175,2210,2175,2147483647,0.016402,0.278451,0.365381,0.112469,0.378771,0,0,0.136025,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,2,8,48
0.91713,100,201,0,116857,179187,0,1,2299,2092,2148,2092,2147483647,0.031344,0.479367,0.755315,0.112082,0.78441,0,0,0.149366,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-14.scen,26,51,65
300.053,40747,81495,0,12643639,24849732,0,1,-1,2026,2078,2026,2147483647,14.6906,219.086,281.326,0.106246,296.774,0,0,0.141062,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-15.scen,6799,28,63
300.026,17773,35546,0,13098185,22652628,0,1,-1,1992,2042,1991,2147483647,11.9674,173.427,284.618,0.26564,297.278,0,0,0.509463,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-16.scen,1491,21,65
300.025,33249,66499,0,33906001,51768413,0,1,-1,1950,1991,1950,2147483647,10.403,148.275,286.803,0.148622,297.731,0,0,0.19557,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-17.scen,2310,17,36
300.036,33516,67033,0,32492745,52033612,0,1,-1,2047,2087,2047,2147483647,10.7863,164.358,286.359,0.125656,297.679,0,0,0.147262,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-18.scen,1866,32,66
0.747726,66,133,0,50663,88225,0,1,2430,2240,2296,2240,2147483647,0.026424,0.488452,0.563448,0.144691,0.586507,0,0,0.177816,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-19.scen,13,27,53
0.618147,50,101,0,46172,79650,0,1,2347,2145,2190,2145,2147483647,0.022652,0.374868,0.439565,0.143868,0.458307,0,0,0.182848,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-20.scen,4,59,61
0.690594,69,139,0,35566,69901,0,1,2300,2109,2168,2109,2147483647,0.029601,0.465338,0.498773,0.145907,0.524594,0,0,0.180997,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-21.scen,16,12,59
300.019,25201,50349,0,44882636,65862833,0,1,-1,2103,2150,2103,2147483647,7.80366,114.534,290.012,0.161732,298.193,0,0,0.193923,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-22.scen,2770,58,75
300.031,35489,70979,0,41222841,64579679,0,1,-1,2154,2212,2154,2147483647,9.06137,150.434,288.43,0.109095,297.908,0,0,0.130763,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-23.scen,3989,7,92
300.04,40577,81155,0,34839945,57080560,0,1,-1,1954,1989,1954,2147483647,11.0814,172.981,286.215,0.113675,297.794,0,0,0.135915,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-24.scen,4038,29,83
0.532005,44,89,0,41870,69811,0,1,2326,2152,2192,2152,2147483647,0.019814,0.324258,0.361531,0.140865,0.377113,0,0,0.161013,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-25.scen,3,21,44
