runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
0.629483,66,133,0,57689,99899,0,1,1983,1812,1857,1812,2147483647,0.021675,0.356918,0.47471,0.120743,0.49411,0,0,0.14475,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,7,30,53
0.452034,39,79,0,49273,79183,0,1,1916,1746,1775,1746,2147483647,0.012798,0.237719,0.335701,0.094848,0.346118,0,0,0.136446,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,2,19,28
0.357093,36,73,0,36616,62715,0,1,1766,1623,1648,1623,2147483647,0.011665,0.192188,0.251889,0.083637,0.261238,0,0,0.136126,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,3,27,52
0.369591,35,71,0,31266,54930,0,1,1811,1681,1712,1681,2147483647,0.012496,0.222563,0.255555,0.0934,0.265699,0,0,0.135563,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,2,11,26
300.035,33889,67779,0,24530376,41055164,0,1,-1,1882,1912,1882,2147483647,11.034,168.12,285.894,0.099372,297.512,0,0,0.137219,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,7552,70,71
0.485454,32,65,0,31914,56079,0,1,2030,1866,1897,1866,2147483647,0.015728,0.276656,0.325949,0.131242,0.33816,0,0,0.194372,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,2,5,45
300.03,37939,75879,0,17407552,31120558,0,1,-1,1801,1842,1801,2147483647,11.7596,197.601,284.796,0.132521,297.228,0,0,0.21076,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,4834,13,23
0.363841,28,57,0,32143,53379,0,1,1958,1804,1836,1804,2147483647,0.012088,0.193876,0.243182,0.098639,0.252315,0,0,0.160863,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,3,36,56
300.025,33135,66271,0,31027799,50411933,0,1,-1,1789,1831,1788,2147483647,8.82667,158.298,288.476,0.120405,297.825,0,0,0.164278,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,3835,7,11
0.420765,38,77,0,30192,52769,0,1,1818,1669,1695,1669,2147483647,0.014184,0.253979,0.296884,0.099954,0.308635,0,0,0.154423,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,2,8,55
0.503949,37,75,0,50183,79318,0,1,1960,1822,1856,1822,2147483647,0.013686,0.261737,0.369349,0.110831,0.380404,0,0,0.156533,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,3,26,43
300.028,35203,70407,0,34311650,55893712,0,1,-1,1914,1961,1914,2147483647,8.34487,162.665,289.056,0.1218,297.893,0,0,0.152018,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,5540,5,46
0.336993,32,65,0,40016,66645,0,1,1979,1800,1817,1800,2147483647,0.009956,0.179439,0.236549,0.082964,0.244307,0,0,0.119763,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,2,26,39
0.284635,31,63,0,29533,52411,0,1,1932,1771,1809,1770,2147483647,0.009735,0.163967,0.188741,0.078749,0.196259,0,0,0.126102,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-14.scen,1,3,69
258.068,47229,94459,0,18802445,33581183,0,1,1895,1723,1763,1723,2147483647,11.2961,170.509,242.972,0.076351,254.87,0,0,0.123933,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-15.scen,8707,28,63
0.486891,62,125,0,40041,74313,0,1,1804,1648,1684,1648,2147483647,0.018624,0.297937,0.36603,0.090413,0.38272,0,0,0.142605,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-16.scen,3,16,23
267.887,35273,70547,0,24351171,41925194,0,1,1790,1629,1662,1629,2147483647,10.1476,148.318,254.657,0.084418,265.357,0,0,0.137351,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-17.scen,5689,13,72
300.061,23769,47539,0,31140029,46863045,0,1,-1,1754,1782,1754,2147483647,7.70023,132.853,289.911,0.09035,298.105,0,0,0.123848,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-18.scen,5522,17,32
1.27123,52,105,0,30802,58547,0,1,2013,1865,1908,1865,2147483647,0.047627,0.82178,0.89,0.301467,0.932568,0,0,0.42516,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-19.scen,5,52,72
0.983042,40,81,0,32640,58944,0,1,1944,1778,1809,1778,2147483647,0.032899,0.586976,0.688399,0.239511,0.716108,0,0,0.363054,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-20.scen,4,59,61
0.877045,51,103,0,22625,48158,0,1,1946,1813,1856,1812,2147483647,0.03673,0.596191,0.618797,0.198725,0.649912,0,0,0.401889,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-21.scen,16,12,59
0.950591,38,77,0,32120,57170,0,1,1920,1760,1790,1760,2147483647,0.031642,0.569582,0.651793,0.245448,0.678298,0,0,0.320677,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-22.scen,3,0,78
300.04,38528,77057,0,29889217,48845807,0,1,-1,1803,1851,1803,2147483647,10.1175,165.954,286.85,0.276041,297.509,0,0,0.332446,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-23.scen,2786,33,66
0.322984,26,53,0,27265,46055,0,1,1791,1639,1663,1639,2147483647,0.009772,0.19587,0.20429,0.101463,0.211607,0,0,0.136996,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-24.scen,2,4,41
0.337329,27,55,0,32535,52333,0,1,1914,1778,1812,1778,2147483647,0.009691,0.18701,0.214579,0.099545,0.221815,0,0,0.138342,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-25.scen,3,33,44
