runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
300.024,27589,55179,0,59071961,82814188,0,1,-1,2169,2231,2169,2147483647,7.15407,108.691,290.889,0.10359,298.379,0,0,0.125668,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,3815,3,83
0.441197,47,95,0,47707,79622,0,1,2319,2122,2159,2122,2147483647,0.015431,0.265886,0.309776,0.107462,0.32248,0,0,0.130364,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,2,9,64
300.035,51348,102697,0,30368852,56074839,0,1,-1,1946,1980,1946,2147483647,12.7683,186.763,283.925,0.097815,297.296,0,0,0.131176,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,4068,31,70
0.624747,90,181,0,57241,102548,0,1,2223,2022,2066,2022,2147483647,0.024455,0.419755,0.492448,0.097498,0.514999,0,0,0.120658,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,9,39,84
300.028,40910,81821,0,44204857,69863443,0,1,-1,2194,2236,2194,2147483647,10.4557,153.16,286.834,0.10561,297.783,0,0,0.121954,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,5376,47,82
300.03,40841,81683,0,37827905,63348067,0,1,-1,2202,2248,2202,2147483647,10.1196,168.681,287.274,0.096025,297.838,0,0,0.116494,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,2589,23,47
300.032,37988,75977,0,46253632,75992267,0,1,-1,2083,2135,2083,2147483647,9.42333,144.111,288.052,0.09642,298.001,0,0,0.122514,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,3416,8,28
300.035,37668,75337,0,51198591,77783744,0,1,-1,2165,2209,2165,2147483647,9.67413,129.819,287.852,0.091418,297.964,0,0,0.121305,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,6692,56,85
300.052,43446,86893,0,36254499,57763366,0,1,-1,2107,2163,2107,2147483647,10.6831,175.066,286.457,0.10332,297.625,0,0,0.125393,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,8238,14,61
300.029,38715,77431,0,44090241,67812180,0,1,-1,1954,1994,1954,2147483647,9.47875,152.799,288.09,0.091421,298.019,0,0,0.118702,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,3540,43,80
0.541661,54,109,0,77178,118849,0,1,2329,2119,2166,2119,2147483647,0.016432,0.291166,0.414586,0.102215,0.428636,0,0,0.123959,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,6,65,92
300.027,35684,71369,0,41257435,67951323,0,1,-1,2183,2235,2183,2147483647,8.97689,159.807,288.512,0.112483,297.937,0,0,0.121014,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,1691,68,84
0.462237,45,91,0,59123,95920,0,1,2387,2175,2210,2175,2147483647,0.014509,0.253799,0.330864,0.106248,0.342739,0,0,0.126135,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,2,8,48
0.408092,50,101,0,45850,81747,0,1,2296,2092,2148,2092,2147483647,0.015226,0.245481,0.287616,0.097112,0.300239,0,0,0.125286,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-14.scen,4,3,80
300.045,53882,107765,0,30029658,53287910,0,1,-1,2026,2078,2026,2147483647,13.0172,190.426,283.715,0.094252,297.284,0,0,0.125589,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-15.scen,4287,36,58
300.034,48070,96141,0,38047902,66318362,0,1,-1,1992,2042,1991,2147483647,11.2886,168.09,285.779,0.099546,297.584,0,0,0.125742,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-16.scen,4255,7,87
300.039,51554,103109,0,34292849,61257788,0,1,-1,1950,1991,1950,2147483647,12.2477,180.524,284.514,0.089869,297.345,0,0,0.122395,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-17.scen,3508,50,65
300.04,44821,89643,0,34577250,56340471,0,1,-1,2047,2087,2047,2147483647,11.5002,179.265,285.612,0.10405,297.683,0,0,0.125068,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-18.scen,4704,71,74
0.537497,69,139,0,51385,91736,0,1,2460,2240,2296,2240,2147483647,0.018874,0.353973,0.407886,0.100776,0.424473,0,0,0.121112,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-19.scen,5,9,24
0.490105,61,123,0,58490,98635,0,1,2359,2145,2190,2145,2147483647,0.017892,0.28862,0.362904,0.099032,0.377827,0,0,0.120908,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-20.scen,4,60,73
0.435988,72,145,0,35659,69282,0,1,2283,2109,2168,2109,2147483647,0.01942,0.300024,0.319095,0.088452,0.33616,0,0,0.122024,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-21.scen,11,17,38
300.067,34848,69697,0,52579649,74439994,0,1,-1,2103,2150,2103,2147483647,8.92513,131.998,288.782,0.1023,298.121,0,0,0.122192,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-22.scen,5705,24,78
300.027,42548,79171,0,40461007,57850303,0,1,-1,2154,2212,2154,2147483647,9.68086,167.441,287.718,0.098851,297.856,0,0,0.116496,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-23.scen,10301,52,72
2.61741,296,593,0,493341,716347,0,1,2149,1954,1989,1954,2147483647,0.070732,1.15559,2.42866,0.096147,2.49956,0,0,0.117547,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-24.scen,58,20,80
0.380639,44,89,0,47453,75694,0,1,2341,2152,2192,2152,2147483647,0.013539,0.222979,0.263606,0.093439,0.274657,0,0,0.117715,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-25.scen,4,13,29
