runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
300.04,44677,89355,0,57464726,85450725,0,1,-1,2533,2612,2533,2147483647,10.4506,154.535,286.969,0.103684,297.903,0,0,0.107977,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,3513,36,106
300.059,43027,86055,0,55462876,81401538,0,1,-1,2419,2469,2419,2147483647,10.075,160.573,287.563,0.106074,298.095,0,0,0.110689,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,5708,100,108
300.033,36090,72181,0,76269306,105863800,0,1,-1,2318,2370,2318,2147483647,8.56007,112.648,289.354,0.093574,298.302,0,0,0.111329,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,4892,46,67
300.048,48320,96641,0,42147412,65954308,0,1,-1,2322,2377,2322,2147483647,10.9856,188.038,286.301,0.102133,297.811,0,0,0.111056,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,3446,22,78
300.04,46399,92799,0,39068386,64903559,0,1,-1,2556,2614,2556,2147483647,10.9529,194.977,286.159,0.108256,297.636,0,0,0.110845,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,4266,51,54
300.042,48019,96039,0,45041220,69850352,0,1,-1,2511,2575,2511,2147483647,10.735,184.892,286.515,0.100846,297.706,0,0,0.109144,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,7772,15,98
300.04,48541,97083,0,52784627,84192347,0,1,-1,2394,2460,2394,2147483647,11.4817,162.847,285.634,0.1024,297.716,0,0,0.109635,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,3899,86,91
300.05,48856,97713,0,47553434,76402421,0,1,-1,2470,2523,2470,2147483647,10.9974,174.771,286.142,0.09549,297.68,0,0,0.110895,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,2941,46,85
300.043,47369,94739,0,49808431,79139105,0,1,-1,2432,2504,2431,2147483647,10.9132,169.002,286.263,0.106009,297.733,0,0,0.112125,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,3038,0,93
300.046,52976,105931,0,36028321,60644418,0,1,-1,2242,2296,2242,2147483647,12.1544,198.346,284.713,0.10044,297.412,0,0,0.110874,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,3036,54,55
300.044,50701,101403,0,38636476,62088236,0,1,-1,2409,2466,2409,2147483647,11.013,197.517,286.17,0.109009,297.707,0,0,0.109273,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,4194,49,76
300.038,43088,86177,0,43506954,71563549,0,1,-1,2576,2644,2575,2147483647,10.1828,183.777,287.122,0.118651,297.784,0,0,0.110688,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,2776,31,102
0.417527,52,105,0,55452,96547,0,1,2828,2590,2646,2590,2147483647,0.015351,0.261888,0.287643,0.10629,0.30031,0,0,0.108721,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,2,8,48
300.045,54266,108533,0,32760140,61649547,0,1,-1,2446,2513,2446,2147483647,12.287,206.837,284.876,0.09996,297.708,0,0,0.112955,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-14.scen,5376,69,86
300.044,50054,100109,0,43366702,72547284,0,1,-1,2392,2463,2392,2147483647,11.7399,182.326,285.289,0.096484,297.654,0,0,0.109501,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-15.scen,2931,47,68
1.11763,181,363,0,181443,288688,0,1,2551,2326,2395,2326,2147483647,0.044027,0.6386,0.960492,0.096584,1.00332,0,0,0.108975,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-16.scen,18,5,92
300.053,60634,121269,0,34005878,59873728,0,1,-1,2317,2376,2317,2147483647,13.6082,201.891,282.994,0.091075,297.278,0,0,0.108437,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-17.scen,5382,34,90
300.063,47083,94167,0,43233833,71307360,0,1,-1,2371,2429,2371,2147483647,11.7494,180.858,285.164,0.109056,297.597,0,0,0.10935,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-18.scen,5903,58,79
300.045,49098,98197,0,30151358,54245705,0,1,-1,2471,2533,2471,2147483647,10.7708,210.686,286.479,0.105838,297.747,0,0,0.107151,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-19.scen,5183,16,24
300.049,51352,102705,0,39496032,66678763,0,1,-1,2464,2522,2464,2147483647,11.8593,189.867,285.266,0.10166,297.632,0,0,0.11113,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-20.scen,3289,30,75
300.061,66913,133827,0,19426471,39204188,0,1,-1,2450,2523,2450,2147483647,14.7094,234.922,281.917,0.096013,297.204,0,0,0.112077,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-21.scen,3997,73,80
300.047,45216,90433,0,52390123,79132731,0,1,-1,2436,2499,2436,2147483647,11.2757,161.6,285.816,0.10847,297.678,0,0,0.114739,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-22.scen,1680,50,85
300.041,42709,85419,0,53654514,82524277,0,1,-1,2464,2532,2464,2147483647,9.94164,157.547,287.386,0.107203,297.831,0,0,0.11318,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-23.scen,1808,8,86
300.052,51770,103541,0,28415727,49949612,0,1,-1,2230,2276,2230,2147483647,11.9787,215.479,285.296,0.105188,297.785,0,0,0.109984,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-24.scen,3343,71,107
300.069,45697,91395,0,46921534,67585815,0,1,-1,2446,2499,2446,2147483647,10.3611,176.636,287.282,0.103275,298.08,0,0,0.112978,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-25.scen,8068,23,66
