runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
0.780004,79,159,0,70235,115620,0,1,1990,1812,1857,1812,2147483647,0.02572,0.434266,0.625459,0.114688,0.649457,0,0,0.152898,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,12,30,53
0.534075,45,91,0,44760,75382,0,1,1902,1746,1775,1746,2147483647,0.016343,0.303054,0.397035,0.1099,0.411104,0,0,0.155771,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,3,12,53
0.442741,38,77,0,35786,62016,0,1,1764,1623,1648,1623,2147483647,0.01546,0.243907,0.316162,0.101158,0.328893,0,0,0.159066,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,4,52,56
0.456245,37,75,0,33257,57853,0,1,1814,1681,1712,1681,2147483647,0.014329,0.27079,0.317187,0.113443,0.329005,0,0,0.169287,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,2,11,26
300.024,28913,57827,0,28521364,45537565,0,1,-1,1882,1912,1882,2147483647,9.3745,151.277,287.712,0.117979,297.725,0,0,0.168197,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,3216,15,43
0.401723,37,75,0,34105,60931,0,1,2029,1866,1897,1866,2147483647,0.013143,0.231074,0.278434,0.100374,0.289161,0,0,0.149209,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,4,17,70
300.028,36249,72499,0,29115685,45614527,0,1,-1,1801,1842,1801,2147483647,9.54155,165.056,287.578,0.103167,297.725,0,0,0.154444,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,2808,13,23
0.323242,27,55,0,31011,51651,0,1,1954,1804,1836,1804,2147483647,0.010643,0.174734,0.215249,0.088771,0.223184,0,0,0.146472,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,3,36,56
300.028,38092,76185,0,24089017,44587693,0,1,-1,1788,1831,1788,2147483647,10.679,180.189,285.996,0.103787,297.391,0,0,0.147374,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,4540,47,48
0.309847,38,77,0,31330,54338,0,1,1819,1669,1695,1669,2147483647,0.010507,0.186366,0.216136,0.075819,0.224723,0,0,0.118163,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,2,15,51
0.357587,33,67,0,46619,74794,0,1,1969,1822,1856,1822,2147483647,0.00949,0.183694,0.254207,0.082243,0.261794,0,0,0.114837,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,2,20,27
300.028,34848,69697,0,44548485,69036668,0,1,-1,1914,1961,1914,2147483647,7.61918,141.367,290.098,0.100087,298.105,0,0,0.118607,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,6672,5,46
0.298854,33,67,0,39022,66213,0,1,1978,1800,1817,1800,2147483647,0.009006,0.161853,0.208147,0.074625,0.215408,0,0,0.106423,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,1,1,34
0.326372,39,79,0,39917,66506,0,1,1947,1771,1809,1770,2147483647,0.010737,0.181622,0.23732,0.07094,0.24645,0,0,0.107138,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-14.scen,3,9,75
300.049,71028,142057,0,16993805,36845820,0,1,-1,1723,1763,1723,2147483647,13.9518,224.665,282.341,0.070433,296.961,0,0,0.124957,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-15.scen,7903,17,26
0.420609,73,147,0,45048,83263,0,1,1805,1648,1684,1648,2147483647,0.016539,0.259914,0.325923,0.069374,0.341177,0,0,0.106438,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-16.scen,9,26,61
300.029,36629,73259,0,56917091,83952220,0,1,-1,1629,1662,1629,2147483647,7.48948,111.548,290.513,0.066341,298.422,0,0,0.105861,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-17.scen,3880,17,47
300.031,40423,80847,0,47221551,71161918,0,1,-1,1754,1782,1754,2147483647,8.24515,144.904,289.521,0.079876,298.211,0,0,0.110199,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-18.scen,8526,17,32
0.298685,45,91,0,29602,55317,0,1,2015,1866,1908,1865,2147483647,0.010897,0.18882,0.207653,0.072327,0.216872,0,0,0.105527,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-19.scen,3,9,24
0.308394,38,77,0,40113,68405,0,1,1930,1778,1809,1778,2147483647,0.010477,0.170155,0.214308,0.077282,0.22236,0,0,0.106286,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-20.scen,4,60,73
0.316181,61,123,0,22073,48033,0,1,1927,1813,1856,1812,2147483647,0.013645,0.223187,0.228856,0.06552,0.240948,0,0,0.105559,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-21.scen,11,17,38
