runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
0.559074,78,157,0,71825,117636,0,1,2135,1944,1996,1944,2147483647,0.01878,0.316262,0.444025,0.086829,0.461108,0,0,0.112286,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,12,30,53
0.375028,45,91,0,45067,76368,0,1,2040,1879,1913,1879,2147483647,0.011961,0.220496,0.272152,0.083455,0.282101,0,0,0.113296,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,3,12,53
0.311888,39,79,0,39137,66651,0,1,1899,1756,1782,1756,2147483647,0.010974,0.173242,0.221127,0.07316,0.229935,0,0,0.112055,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,4,52,56
0.3217,37,75,0,36468,62286,0,1,1947,1807,1842,1807,2147483647,0.010451,0.192558,0.223854,0.080466,0.232284,0,0,0.113644,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,2,11,26
300.035,49714,99429,0,36646505,60739390,0,1,-1,2004,2037,2003,2147483647,11.0105,170.602,286.214,0.086599,297.757,0,0,0.112468,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,4814,19,61
0.280719,31,63,0,36899,63759,0,1,2190,2002,2039,2002,2147483647,0.008891,0.155702,0.186209,0.078776,0.193038,0,0,0.110082,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,3,29,63
300.017,26720,53441,0,64406583,89399915,0,1,-1,1887,1932,1887,2147483647,5.78372,91.2766,292.575,0.077883,298.694,0,0,0.108385,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,3153,28,56
0.347479,42,85,0,40456,69617,0,1,2095,1912,1948,1912,2147483647,0.012623,0.196375,0.249507,0.077219,0.260119,0,0,0.1233,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,6,36,56
300.031,41758,83517,0,42480477,68888930,0,1,-1,1934,1986,1934,2147483647,8.92328,154.402,288.683,0.088231,298.06,0,0,0.116997,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,3238,7,61
0.318993,41,83,0,32495,57689,0,1,1908,1744,1774,1744,2147483647,0.011115,0.198199,0.221988,0.078581,0.23112,0,0,0.112912,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,2,8,55
