runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
0.83737,183,367,0,143127,235699,0,1,1865,1709,1750,1709,2147483647,0.027565,0.454118,0.737337,0.056977,0.76508,0,0,0.082961,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,73,30,53
0.22314,34,69,0,33768,57375,0,1,1781,1635,1662,1635,2147483647,0.006548,0.125624,0.159954,0.05145,0.165404,0,0,0.078431,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,2,19,28
0.191381,31,63,0,30351,52432,0,1,1656,1524,1546,1524,2147483647,0.005972,0.102481,0.130843,0.048484,0.135524,0,0,0.079423,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,3,27,52
0.240891,36,73,0,33452,56782,0,1,1704,1560,1585,1560,2147483647,0.007001,0.135241,0.169481,0.056259,0.175344,0,0,0.079863,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,2,11,26
0.273982,57,115,0,38163,67266,0,1,1964,1789,1816,1789,2147483647,0.009941,0.167182,0.20423,0.0533,0.213213,0,0,0.076219,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,5,14,49
0.187252,31,63,0,29630,51070,0,1,1865,1739,1767,1739,2147483647,0.006115,0.104865,0.125425,0.050776,0.130166,0,0,0.080579,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,3,29,40
300.037,37425,74851,0,26902125,45177800,0,1,-1,1714,1751,1714,2147483647,9.4608,157.406,287.748,0.051342,297.822,0,0,0.07923,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,6064,14,47
0.272022,23,47,0,28070,46392,0,1,1822,1684,1714,1684,2147483647,0.008287,0.140907,0.176575,0.079111,0.182587,0,0,0.135884,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,2,19,37
14.1416,1786,3573,0,1646842,2636128,0,1,1886,1716,1755,1716,2147483647,0.416753,7.161,13.4953,0.091706,13.9322,0,0,0.135174,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,445,7,11
0.299908,31,63,0,28226,48528,0,1,1731,1598,1620,1597,2147483647,0.009745,0.171475,0.203351,0.077527,0.21066,0,0,0.122676,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,2,8,55
0.355612,32,65,0,40375,65085,0,1,1821,1700,1729,1700,2147483647,0.009829,0.18823,0.254237,0.083558,0.261974,0,0,0.125877,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,3,8,64
0.41763,36,73,0,48921,78661,0,1,1981,1801,1844,1801,2147483647,0.010564,0.218112,0.304757,0.093518,0.313343,0,0,0.122929,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,6,8,38
0.328999,29,59,0,38652,63471,0,1,1851,1696,1713,1696,2147483647,0.009028,0.166079,0.229392,0.080902,0.236363,0,0,0.122509,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,1,1,34
