runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
0.597929,48,97,0,37468,65348,0,1,1876,1709,1750,1709,2147483647,0.02019,0.34323,0.435205,0.127123,0.452471,0,0,0.212874,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,6,28,70
0.605345,41,83,0,37973,64818,0,1,1779,1635,1662,1635,2147483647,0.018089,0.343806,0.443564,0.130503,0.459214,0,0,0.196443,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,3,12,53
0.520048,34,69,0,29761,52711,0,1,1654,1524,1546,1524,2147483647,0.016564,0.287535,0.36843,0.119878,0.382757,0,0,0.20144,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,4,52,56
0.594578,38,77,0,35444,59706,0,1,1707,1560,1585,1560,2147483647,0.017572,0.333784,0.42299,0.138764,0.438135,0,0,0.203051,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,2,11,26
0.53944,40,81,0,28954,53861,0,1,1960,1789,1816,1789,2147483647,0.018556,0.326456,0.364521,0.141193,0.38052,0,0,0.186438,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,2,21,32
0.627077,34,69,0,30290,52801,0,1,1865,1739,1767,1739,2147483647,0.019035,0.345937,0.447487,0.146606,0.4643,0,0,0.189062,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,5,29,40
8.27228,719,1439,0,381146,647201,0,1,1882,1714,1751,1714,2147483647,0.290684,5.16923,7.72453,0.149642,8.03026,0,0,0.235368,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,107,7,68
0.575438,27,55,0,25920,45144,0,1,1813,1684,1714,1684,2147483647,0.017886,0.315662,0.37112,0.169866,0.385184,0,0,0.233785,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,2,19,37
60.6159,4116,8233,0,3445518,5792669,0,1,1886,1716,1755,1716,2147483647,1.84074,31.6174,57.9159,0.179979,59.8897,0,0,0.293263,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,352,7,37
0.625209,30,61,0,32601,53122,0,1,1736,1598,1620,1597,2147483647,0.01753,0.344621,0.438741,0.152973,0.452908,0,0,0.23855,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,2,8,55
0.645537,28,57,0,36610,59493,0,1,1804,1700,1729,1700,2147483647,0.01735,0.336061,0.447075,0.163568,0.460722,0,0,0.235642,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,3,26,43
300.029,32472,64945,0,23005099,39418493,0,1,-1,1801,1844,1801,2147483647,9.20479,177.55,287.944,0.186417,297.749,0,0,0.226258,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,5794,5,46
0.399633,29,59,0,38652,63471,0,1,1851,1696,1713,1696,2147483647,0.010837,0.200349,0.282393,0.094811,0.291038,0,0,0.138784,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,1,1,34
0.296804,27,55,0,25828,45561,0,1,1807,1658,1692,1658,2147483647,0.009874,0.168559,0.193751,0.084749,0.201507,0,0,0.138161,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-14.scen,2,29,36
0.464087,62,125,0,32399,62441,0,1,1783,1628,1666,1628,2147483647,0.018844,0.292556,0.353328,0.080501,0.370764,0,0,0.137887,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-15.scen,13,61,62
0.78943,100,201,0,59995,110238,0,1,1678,1526,1558,1526,2147483647,0.03013,0.470803,0.655899,0.08892,0.685276,0,0,0.143783,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-16.scen,29,26,61
300.024,34726,69453,0,29505208,47199953,0,1,-1,1506,1535,1506,2147483647,9.68108,148.458,287.321,0.084017,297.654,0,0,0.149985,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-17.scen,3477,12,72
300.03,28814,57629,0,39104034,56959025,0,1,-1,1640,1664,1640,2147483647,7.59549,130.775,289.97,0.0931,298.137,0,0,0.141285,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-18.scen,6577,17,32
0.394155,46,93,0,25217,49100,0,1,1898,1773,1810,1772,2147483647,0.014219,0.253692,0.280658,0.088478,0.292931,0,0,0.141139,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-19.scen,3,0,9
0.354472,35,71,0,31611,55790,0,1,1772,1646,1674,1646,2147483647,0.011666,0.202275,0.244862,0.089071,0.254362,0,0,0.140388,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-20.scen,4,60,73
0.383515,53,107,0,21388,46142,0,1,1810,1702,1742,1702,2147483647,0.015935,0.260759,0.276423,0.080229,0.290615,0,0,0.136606,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-21.scen,4,12,74
0.334298,33,67,0,22987,43724,0,1,1757,1659,1685,1659,2147483647,0.011486,0.208614,0.216406,0.095235,0.225549,0,0,0.14598,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-22.scen,5,10,11
0.483582,47,95,0,47376,77008,0,1,1873,1713,1758,1713,2147483647,0.014929,0.262885,0.365586,0.091971,0.379457,0,0,0.139781,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-23.scen,4,49,72
0.293112,25,51,0,23260,39950,0,1,1641,1530,1552,1530,2147483647,0.008817,0.178109,0.187046,0.089522,0.193788,0,0,0.136004,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-24.scen,2,4,41
0.327277,26,53,0,28154,45949,0,1,1774,1673,1702,1673,2147483647,0.009767,0.180338,0.215065,0.092989,0.222582,0,0,0.144683,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-25.scen,3,33,44
