runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
300.052,53658,107289,0,39777234,66883209,0,1,-1,2533,2612,2533,2147483647,12.6134,188.798,284.043,0.103824,297.331,0,0,0.10754,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,3584,27,47
300.061,43952,87905,0,55628534,82364474,0,1,-1,2419,2469,2419,2147483647,10.1579,155.584,287.398,0.105182,298.039,0,0,0.108255,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,6013,29,88
300.045,41438,82877,0,42961151,69602389,0,1,-1,2318,2370,2318,2147483647,12.5644,157.305,283.892,0.112604,297.247,0,0,0.135168,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,1702,59,67
300.03,31530,63061,0,54585769,76887378,0,1,-1,2322,2377,2322,2147483647,9.19869,140.531,288.263,0.204079,297.969,0,0,0.220827,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,2934,58,105
300.036,34749,69499,0,53753658,82896687,0,1,-1,2556,2614,2556,2147483647,8.7618,156.019,288.709,0.112788,297.987,0,0,0.114998,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,8510,10,61
300.054,45835,91671,0,36511811,61495032,0,1,-1,2511,2575,2511,2147483647,11.5042,192.145,285.568,0.108864,297.622,0,0,0.119938,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,3730,35,62
300.043,36867,73735,0,38740697,64494851,0,1,-1,2394,2460,2394,2147483647,12.1448,163.138,284.583,0.111881,297.46,0,0,0.120471,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,2303,50,101
300.051,53228,106457,0,25393979,49703141,0,1,-1,2470,2523,2470,2147483647,13.3278,213.073,283.152,0.138186,297.182,0,0,0.162183,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,9172,35,57
300.045,49985,99971,0,40817729,67496899,0,1,-1,2432,2504,2431,2147483647,12.2154,190.908,284.552,0.101914,297.431,0,0,0.113073,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,5999,39,94
300.057,56789,113545,0,30567092,53681658,0,1,-1,2242,2296,2242,2147483647,12.6972,210.22,284.198,0.100388,297.455,0,0,0.111654,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,4860,18,87
14.1169,2390,4781,0,1821428,2982833,0,1,2649,2409,2466,2409,2147483647,0.558882,8.99793,13.2717,0.108707,13.8527,0,0,0.112901,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,305,39,53
300.055,31650,63301,0,56383668,83455668,0,1,-1,2576,2644,2575,2147483647,8.3279,145.498,289.164,0.125999,297.988,0,0,0.113683,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,3509,68,84
0.433892,53,107,0,55840,97153,0,1,2830,2590,2646,2590,2147483647,0.016358,0.27174,0.301053,0.106094,0.314527,0,0,0.111974,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,2,8,48
300.044,49612,99225,0,34983496,60886979,0,1,-1,2446,2513,2446,2147483647,11.8176,199.772,285.413,0.10106,297.739,0,0,0.112727,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-14.scen,3482,42,86
300.054,52977,105955,0,35458673,59339218,0,1,-1,2392,2463,2392,2147483647,13.6315,199.588,283.095,0.096297,297.364,0,0,0.110997,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-15.scen,3370,62,83
300.075,56839,113679,0,38620166,66366373,0,1,-1,2326,2395,2326,2147483647,12.9394,190.553,283.965,0.099712,297.439,0,0,0.113875,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-16.scen,4428,16,74
300.051,55652,111305,0,40051685,65257426,0,1,-1,2317,2376,2317,2147483647,13.1164,187.299,283.435,0.108501,297.244,0,0,0.126353,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-17.scen,2610,33,73
300.065,52299,104599,0,33436215,59655137,0,1,-1,2371,2429,2371,2147483647,12.8037,202.909,284.067,0.105797,297.498,0,0,0.109808,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-18.scen,2658,54,103
300.046,49408,98817,0,33031828,62106116,0,1,-1,2472,2533,2471,2147483647,10.7389,206.187,286.519,0.106386,297.759,0,0,0.109231,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-19.scen,13880,8,49
300.044,51272,102545,0,41615356,73274991,0,1,-1,2464,2522,2464,2147483647,11.8997,184.579,285.141,0.101993,297.593,0,0,0.113654,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-20.scen,2870,49,52
300.061,65638,131277,0,26070650,48715706,0,1,-1,2450,2523,2450,2147483647,14.2092,220.922,282.532,0.091074,297.305,0,0,0.109998,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-21.scen,22914,24,99
300.046,55158,110317,0,36187548,61573642,0,1,-1,2436,2499,2436,2147483647,13.9914,197.459,282.365,0.106422,297.099,0,0,0.110718,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-22.scen,5425,66,94
300.049,49560,99121,0,40940257,68092163,0,1,-1,2464,2532,2464,2147483647,11.4547,186.267,285.4,0.107555,297.417,0,0,0.111551,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-23.scen,2207,63,98
