runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
300.026,15005,30011,0,71254640,86969762,0,1,-1,2254,2317,2253,2147483647,4.1913,66.6009,294.592,0.15126,298.997,0,0,0.174118,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,7936,28,42
300.041,40464,80929,0,30137174,49427520,0,1,-1,2232,2273,2232,2147483647,11.1466,182.714,286.134,0.115109,297.784,0,0,0.131791,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,5190,9,35
300.043,46190,92381,0,28141137,50808399,0,1,-1,2083,2124,2083,2147483647,13.7584,186.807,282.792,0.104239,297.177,0,0,0.137292,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,4455,42,70
1.0179,82,165,0,65946,110483,0,1,2299,2094,2140,2094,2147483647,0.037875,0.637711,0.770344,0.163678,0.80459,0,0,0.200026,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,3,28,32
300.058,20474,40949,0,41508653,58894236,0,1,-1,2306,2354,2306,2147483647,7.75962,116.076,290.036,0.18149,298.205,0,0,0.202973,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,1216,61,67
300.028,24355,48711,0,34863238,53057151,0,1,-1,2283,2335,2283,2147483647,9.36393,145.446,287.684,0.50452,297.506,0,0,0.512236,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,3889,59,79
300.032,31483,62967,0,37837827,57283690,0,1,-1,2164,2216,2163,2147483647,10.1777,150.702,287.008,0.115033,297.714,0,0,0.138311,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,1214,14,33
300.042,21746,43493,0,24742255,39223239,0,1,-1,2246,2292,2246,2147483647,11.0416,144.514,285.958,0.162293,297.609,0,0,0.202168,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,3173,58,92
300.039,23775,47551,0,14824818,25717823,0,1,-1,2237,2301,2237,2147483647,12.0569,194.964,284.002,0.317639,296.777,0,0,0.373125,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,1497,40,61
17.6316,1467,2935,0,1036509,1705643,0,1,2262,2057,2101,2057,2147483647,0.657069,11.028,16.5807,0.187915,17.269,0,0,0.233932,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,136,18,59
0.975338,57,115,0,57998,97792,0,1,2455,2233,2282,2233,2147483647,0.033232,0.600349,0.718049,0.204786,0.74681,0,0,0.236304,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,3,8,64
300.031,26628,53257,0,12627565,25501867,0,1,-1,2311,2367,2311,2147483647,12.2102,214.756,284.179,0.221287,297.113,0,0,0.234097,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,14357,58,76
300.026,29633,59267,0,16799382,28003634,0,1,-1,2288,2330,2288,2147483647,11.6905,203.099,285.061,0.173536,297.395,0,0,0.195396,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,4429,28,72
