runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
16.5515,9,19,0,1656531,1817410,0,1,19597,19469,19473,19469,2147483647,0.030086,2.2306,14.7511,1.7896,14.7608,0,0,17.8598,ECBS_1.010000,instances/scen-random/Paris_1_256-random-2.scen,1,3,12
91.344,51,103,0,9970108,10560967,0,1,39061,38680,38698,38680,2147483647,0.177712,12.7572,84.9057,6.32672,85.0101,0,0,26.5372,ECBS_1.010000,instances/scen-random/Paris_1_256-random-2.scen,12,42,156
151.227,65,131,0,16884405,17805003,0,1,47723,47295,47323,47295,2147483647,0.278391,20.1237,141.197,9.85336,141.362,0,0,37.3246,ECBS_1.010000,instances/scen-random/Paris_1_256-random-2.scen,11,138,161
1800.15,5392,10785,0,161149357,190147543,0,1,-1,44426,44428,44426,2147483647,10.1437,921.01,1784.16,4.58225,1794.54,0,0,17.3358,ECBS_1.004000,instances/scen-random/Paris_1_256-random-1.scen,2165,39,79
103.312,59,119,0,16548580,17441076,0,1,47717,47295,47319,47295,2147483647,0.152355,11.6311,97.7055,5.50564,97.7994,0,0,18.1716,ECBS_1.009000,instances/scen-random/Paris_1_256-random-2.scen,7,42,156
102.934,59,119,0,16548580,17441076,0,1,47717,47295,47319,47295,2147483647,0.152759,10.9544,97.6869,5.1462,97.7809,0,0,17.1769,ECBS_1.009000,instances/scen-random/Paris_1_256-random-2.scen,7,42,156
129.48,65,131,0,16884405,17805003,0,1,47723,47295,47323,47295,2147483647,0.235347,15.6297,124.4,4.89052,124.579,0,0,18.2811,ECBS_1.010000,instances/scen-random/Paris_1_256-random-2.scen,11,138,161
1800.07,7659,15319,0,34627578,59308699,0,1,-1,47295,47314,47295,2147483647,19.7269,1525.69,1769.84,8.7732,1789.87,0,0,67.1583,ECBS_1.008000,instances/scen-random/Paris_1_256-random-2.scen,7573,138,161
0.91347,3,7,0,34844,111168,0,1,17208,17199,17206,17198,2147483647,0.010092,0.793419,0.130061,0.781498,0.13177,0,0,7.66868,ECBS_1.010000,instances/scen-random/Paris_1_256-random-3.scen,1,8,50
31.3877,51,103,0,5660191,6176943,0,1,37620,37321,37345,37320,2147483647,0.092163,6.48448,28.3884,2.93824,28.4454,0,0,14.7851,ECBS_1.010000,instances/scen-random/Paris_1_256-random-3.scen,10,23,150
80.0115,190,381,0,11416530,12536047,0,1,46500,46049,46082,46048,2147483647,0.339246,25.1638,74.7796,4.92713,75.0658,0,0,16.9372,ECBS_1.010000,instances/scen-random/Paris_1_256-random-3.scen,56,98,128
1800.52,3127,6255,0,233447727,257852749,0,1,-1,46049,46077,46048,2147483647,6.15423,512.967,1788.78,5.02532,1795.03,0,0,17.2382,ECBS_1.009000,instances/scen-random/Paris_1_256-random-3.scen,551,87,181
68.4156,84,169,0,9882262,10685160,0,1,46349,46049,46072,46048,2147483647,0.208594,15.3162,62.4824,5.7792,62.6268,0,0,18.555,ECBS_1.008000,instances/scen-random/Paris_1_256-random-3.scen,10,23,39
1800.11,2381,4763,0,200217460,220436941,0,1,-1,46049,46077,46048,2147483647,5.63428,463.083,1786.96,7.05923,1792.64,0,0,19.1058,ECBS_1.009000,instances/scen-random/Paris_1_256-random-3.scen,339,87,181
145.644,75,151,0,23741554,24825951,0,1,47518,47295,47308,47295,2147483647,0.175413,12.3882,140.565,4.95292,140.683,0,0,17.4454,ECBS_1.005000,instances/scen-random/Paris_1_256-random-2.scen,7,42,156
1800.17,5221,10443,0,29734127,46822376,0,1,-1,47295,47314,47295,2147483647,19.5938,1552.58,1773.25,5.63348,1793.12,0,0,18.9679,ECBS_1.008000,instances/scen-random/Paris_1_256-random-2.scen,5135,138,161
138.666,75,151,0,23741554,24825951,0,1,47518,47295,47308,47295,2147483647,0.175697,11.844,133.677,4.86127,133.794,0,0,17.0458,ECBS_1.005000,instances/scen-random/Paris_1_256-random-2.scen,7,42,156
158.099,75,151,0,23741554,24825951,0,1,47518,47295,47308,47295,2147483647,0.204558,14.2879,153.029,4.91019,153.176,0,0,17.2361,ECBS_1.005000,instances/scen-random/Paris_1_256-random-2.scen,7,42,156
110.157,59,119,0,16548580,17441076,0,1,47717,47295,47319,47295,2147483647,0.170517,12.2482,105.12,4.91432,105.233,0,0,17.0449,ECBS_1.009000,instances/scen-random/Paris_1_256-random-2.scen,7,42,156
